step,reward,avg_speed,cav_count,hdv_count
492,0.254353,1.037285,24,15
493,0.254353,1.037285,24,15
494,0.254353,1.037285,24,15
495,0.254353,1.037285,24,15
496,0.254353,1.037285,24,15
497,0.254353,1.037285,24,15
498,0.254353,1.037285,24,15
499,0.254353,1.037285,24,15
500,0.254353,1.037285,24,15
501,0.254353,1.037285,24,15
502,0.254353,1.037285,24,15
503,0.254353,1.037285,24,15
504,0.254353,1.037285,24,15
505,0.254353,1.037285,24,15
506,0.254353,1.037285,24,15
507,0.254353,1.037285,24,15
508,0.254353,1.037285,24,15
509,0.254353,1.037285,24,15
510,0.254353,1.037285,24,15
511,0.254353,1.037285,24,15
512,0.254353,1.037285,24,15
513,0.254353,1.037285,24,15
514,0.254353,1.037285,24,15
515,0.254353,1.037285,24,15
516,0.254353,1.037285,24,15
517,0.254353,1.037285,24,15
518,0.254353,1.037285,24,15
519,0.254353,1.037285,24,15
520,0.254353,1.037285,24,15
521,0.254353,1.037285,24,15
522,0.254353,1.037285,24,15
523,0.254353,1.037285,24,15
524,0.254353,1.037285,24,15
525,0.254353,1.037285,24,15
526,0.254353,1.037285,24,15
527,0.254353,1.037285,24,15
528,0.254353,1.037285,24,15
529,0.254353,1.037285,24,15
530,0.254353,1.037285,24,15
531,0.254353,1.037285,24,15
532,0.254353,1.037285,24,15
533,0.254353,1.037285,24,15
534,0.254353,1.037285,24,15
535,0.254353,1.037285,24,15
536,0.254353,1.037285,24,15
537,0.254353,1.037285,24,15
538,0.254353,1.037285,24,15
539,0.254353,1.037285,24,15
540,0.254353,1.037285,24,15
541,0.254353,1.037285,24,15
542,0.254353,1.037285,24,15
543,0.254353,1.037285,24,15
544,0.254353,1.037285,24,15
545,0.254353,1.037285,24,15
546,0.254353,1.037285,24,15
547,0.254353,1.037285,24,15
548,0.209351,1.037285,24,15
549,0.211955,1.049785,24,15
550,0.214560,1.062285,24,15
551,0.217164,1.074785,24,15
552,0.219768,1.087285,24,15
553,0.222372,1.099785,24,15
554,0.224976,1.112285,24,15
555,0.227580,1.124785,24,15
556,0.230185,1.137285,24,15
557,0.232789,1.149785,24,15
558,0.235393,1.162285,24,15
559,0.237997,1.174785,24,15
560,0.240601,1.187285,24,15
561,0.243205,1.199785,24,15
562,0.245810,1.212285,24,15
563,0.248414,1.224785,24,15
564,0.251018,1.237285,24,15
565,0.253622,1.249785,24,15
566,0.256226,1.262285,24,15
567,0.258830,1.274785,24,15
568,0.261435,1.287285,24,15
569,0.264039,1.299785,24,15
570,0.266643,1.312285,24,15
571,0.269247,1.324785,24,15
572,0.271851,1.337285,24,15
573,0.271851,1.337285,24,15
574,0.271851,1.337285,24,15
575,0.271851,1.337285,24,15
576,0.271851,1.337285,24,15
577,0.271851,1.337285,24,15
578,0.271851,1.337285,24,15
579,0.271851,1.337285,24,15
580,0.255572,1.058287,23,15
581,0.255572,1.058287,23,15
582,0.255572,1.058287,23,15
583,0.255572,1.058287,23,15
584,0.255572,1.058287,23,15
585,0.255572,1.058287,23,15
586,0.255572,1.058287,23,15
587,0.255572,1.058287,23,15
588,0.255572,1.058287,23,15
589,0.255572,1.058287,23,15
590,0.255572,1.058287,23,15
591,0.255572,1.058287,23,15
592,0.255572,1.058287,23,15
593,0.255572,1.058287,23,15
594,0.255572,1.058287,23,15
595,0.255572,1.058287,23,15
596,0.255572,1.058287,23,15
597,0.255572,1.058287,23,15
598,0.255572,1.058287,23,14
599,0.255572,1.058287,23,14
600,0.255572,1.058287,23,14
601,0.210487,1.058287,23,14
602,0.213123,1.071330,23,14
603,0.215759,1.084374,23,14
604,0.218395,1.097417,23,14
605,0.221031,1.110461,23,14
606,0.223667,1.123504,23,14
607,0.226302,1.136548,23,14
