window,step,throughput,cumulative_throughput
869,86900,0,30
870,87000,7,37
871,87100,2,39
872,87200,0,39
873,87300,7,46
874,87400,6,52
875,87500,5,57
876,87600,1,58
877,87700,3,61
878,87800,4,65
879,87900,4,69
880,88000,2,71
881,88100,4,75
882,88200,4,79
883,88300,6,85
884,88400,3,88
885,88500,2,90
886,88600,3,93
887,88700,5,98
888,88800,3,101
889,88900,5,106
890,89000,5,111
891,89100,3,114
892,89200,7,121
893,89300,3,124
894,89400,1,125
895,89500,8,133
896,89600,5,138
897,89700,5,143
898,89800,3,146
899,89900,3,149
900,90000,6,155
901,90100,4,159
902,90200,8,167
903,90300,6,173
904,90400,4,177
905,90500,7,184
906,90600,2,186
907,90700,7,193
908,90800,6,199
909,90900,5,204
910,91000,3,207
911,91100,7,214
912,91200,7,221
913,91300,6,227
914,91400,6,233
915,91500,3,236
916,91600,5,241
917,91700,4,245
918,91800,4,249
919,91900,6,255
920,92000,2,257
921,92100,5,262
922,92200,5,267
923,92300,4,271
924,92400,4,275
925,92500,6,281
926,92600,4,285
927,92700,6,291
928,92800,3,294
929,92900,1,295
930,93000,8,303
931,93100,7,310
932,93200,4,314
933,93300,7,321
934,93400,5,326
935,93500,5,331
936,93600,5,336
937,93700,6,342
938,93800,2,344
939,93900,5,349
940,94000,6,355
941,94100,4,359
942,94200,8,367
943,94300,6,373
944,94400,3,376
945,94500,4,380
946,94600,5,385
947,94700,4,389
948,94800,5,394
949,94900,6,400
950,95000,5,405
951,95100,3,408
952,95200,5,413
953,95300,5,418
954,95400,7,425
955,95500,5,430
956,95600,6,436
957,95700,3,439
958,95800,6,445
959,95900,8,453
960,96000,4,457
961,96100,5,462
962,96200,2,464
963,96300,3,467
964,96400,4,471
965,96500,4,475
966,96600,4,479
967,96700,6,485
968,96800,7,492
969,96900,6,498
970,97000,5,503
971,97100,5,508
972,97200,3,511
973,97300,2,513
974,97400,6,519
975,97500,3,522
976,97600,7,529
977,97700,2,531
978,97800,6,537
979,97900,6,543
980,98000,6,549
981,98100,4,553
982,98200,4,557
983,98300,3,560
984,98400,2,562
985,98500,5,567
986,98600,4,571
987,98700,4,575
988,98800,4,579
989,98900,4,583
990,99000,5,588
991,99100,5,593
992,99200,4,597
993,99300,6,603
994,99400,7,610
995,99500,6,616
996,99600,6,622
997,99700,6,628
998,99800,3,631
999,99900,0,631
1000,100000,2,633
1001,100100,6,639
1002,100200,4,643
1003,100300,5,648
1004,100400,5,653
1005,100500,5,658
1006,100600,6,664
1007,100700,3,667
1008,100800,5,672
1009,100900,2,674
1010,101000,2,676
1011,101100,5,681
1012,101200,5,686
1013,101300,5,691
1014,101400,2,693
1015,101500,1,694
1016,101600,5,699
1017,101700,7,706
1018,101800,8,714
1019,101900,1,715
1020,102000,5,720
1021,102100,5,725
1022,102200,6,731
1023,102300,3,734
1024,102400,4,738
1025,102500,6,744
1026,102600,2,746
1027,102700,5,751
1028,102800,7,758
1029,102900,7,765
1030,103000,4,769
1031,103100,4,773
1032,103200,2,775
1033,103300,3,778
1034,103400,3,781
1035,103500,6,787
1036,103600,5,792
1037,103700,4,796
1038,103800,5,801
1039,103900,5,806
1040,104000,5,811
1041,104100,3,814
1042,104200,5,819
1043,104300,4,823
1044,104400,0,823
1045,104500,3,826
1046,104600,5,831
1047,104700,3,834
1048,104800,4,838
1049,104900,7,845
1050,105000,6,851
1051,105100,8,859
1052,105200,3,862
1053,105300,2,864
1054,105400,3,867
1055,105500,5,872
1056,105600,4,876
1057,105700,2,878
1058,105800,8,886
1059,105900,4,890
1060,106000,4,894
